l_rect.x, l_rect.y, r_rect.x, r_rect.y, l_scale, r_scale, loc.x, loc.y, loc.z, rot_quat.x, rot_quat.y, rot_quat.z, rot_quat.w, rot.roll, rot.pitch, rot.yaw, pos_err, rot_err
286, 199, 267, 199, 0.950000, 0.950000, 0.004613, 0.003900, 0.174329, 0.000000, 0.000000, -0.999657, 0.026177, 0.000000, 0.000000, -177.000000, 0.002915, 0.346223
286, 199, 267, 199, 0.950000, 0.950000, 0.004613, 0.003900, 0.174329, 0.000000, 0.000000, -0.999657, 0.026177, 0.000000, 0.000000, -177.000000, 0.002915, 0.346223
286, 199, 267, 199, 0.950000, 0.950000, 0.004613, 0.003900, 0.174329, 0.000000, 0.000000, -0.999657, 0.026177, 0.000000, 0.000000, -177.000000, 0.002915, 0.346223
286, 199, 267, 199, 0.950000, 0.950000, 0.004613, 0.003900, 0.174329, 0.000000, 0.000000, -0.999657, 0.026177, 0.000000, 0.000000, -177.000000, 0.002915, 0.346223
388, 58, 369, 58, 0.950000, 0.950000, 0.028986, -0.028406, 0.174329, 0.000000, 0.000000, -0.942641, 0.333807, 0.000000, 0.000000, -141.000000, 0.002738, 1.873642
388, 58, 369, 58, 0.950000, 0.950000, 0.028986, -0.028406, 0.174329, 0.000000, 0.000000, -0.942641, 0.333807, 0.000000, 0.000000, -141.000000, 0.002738, 1.873642
388, 58, 369, 58, 0.950000, 0.950000, 0.028986, -0.028406, 0.174329, 0.000000, 0.000000, -0.942641, 0.333807, 0.000000, 0.000000, -141.000000, 0.002738, 1.873642
388, 58, 369, 58, 0.950000, 0.950000, 0.028986, -0.028406, 0.174329, 0.000000, 0.000000, -0.942641, 0.333807, 0.000000, 0.000000, -141.000000, 0.002738, 1.873642
107, 138, 81, 138, 1.400000, 1.400000, -0.026586, -0.000498, 0.127394, 0.000000, 0.000000, -0.987688, 0.156434, 0.000000, 0.000000, -162.000000, 0.001871, 0.881422
107, 138, 81, 138, 1.400000, 1.400000, -0.026586, -0.000498, 0.127394, 0.000000, 0.000000, -0.987688, 0.156434, 0.000000, 0.000000, -162.000000, 0.001871, 0.881422
107, 138, 81, 138, 1.400000, 1.400000, -0.026586, -0.000498, 0.127394, 0.000000, 0.000000, -0.987688, 0.156434, 0.000000, 0.000000, -162.000000, 0.001871, 0.881422
107, 138, 81, 138, 1.400000, 1.400000, -0.026586, -0.000498, 0.127394, 0.000000, 0.000000, -0.987688, 0.156434, 0.000000, 0.000000, -162.000000, 0.001871, 0.881422
289, 124, 269, 124, 1.100000, 1.100000, 0.013332, -0.008197, 0.165613, 0.000000, 0.000000, 0.958820, 0.284015, 0.000000, 0.000000, 147.000000, 0.006614, 1.504146
289, 124, 269, 124, 1.100000, 1.100000, 0.013332, -0.008197, 0.165613, 0.000000, 0.000000, 0.958820, 0.284015, 0.000000, 0.000000, 147.000000, 0.006614, 1.504146
289, 124, 269, 124, 1.100000, 1.100000, 0.013332, -0.008197, 0.165613, 0.000000, 0.000000, 0.958820, 0.284015, 0.000000, 0.000000, 147.000000, 0.006614, 1.504146
